start,end,relation
Alan Turing,London,BORN_IN
Alan Turing,Maida Vale,BORN_IN
Alan Turing,University of Cambridge,STUDIED_AT
Alan Turing,Princeton University,STUDIED_AT
Alan Turing,University of Manchester,WORKED_AT
Alan Turing,Bletchley Park,WORKED_AT
Alan Turing,Turing Machine,PROPOSED
Alan Turing,Turing Test,PROPOSED
Alan Turing,Computability Theory,RELATED_TO
Alan Turing,Artificial Intelligence,INFLUENCED
Turing Award,Alan Turing,RELATED_TO
University of Cambridge,Cambridge,LOCATED_IN
University of Manchester,Manchester,LOCATED_IN
Alonzo Church,Princeton University,WORKED_AT
Claude Shannon,Artificial Intelligence,RELATED_TO
John von Neumann,Computability Theory,RELATED_TO
Marvin Minsky,Artificial Intelligence,RELATED_TO
